endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
direct.adsrvr.org,request,2.6-202606,404,371,91.8,654
htlb.casalemedia.com,request,2.6-202606,393,169,43.0,359
rtb.openx.net,request,2.6-202606,335,104,31.0,543
rtb.openx.net,response,2.6-202606,335,0,0.0,0
htlb.casalemedia.com,response,2.6-202606,317,316,99.7,316
prebid-server.rubiconproject.com,request,2.6-202606,288,165,57.3,649
prebid-server.rubiconproject.com,response,2.6-202606,284,1,0.4,59
btlr.sharethrough.com,request,2.6-202606,243,184,75.7,270
prebid.media.net,request,2.6-202606,191,191,100.0,2868
hbopenbid.pubmatic.com,request,2.6-202606,175,80,45.7,209
elb.the-ozone-project.com,request,2.5,150,150,100.0,490
ssb-global.smartadserver.com,request,2.6-202606,138,138,100.0,191
fastlane.rubiconproject.com,request,2.6-202606,133,11,8.3,26
fastlane.rubiconproject.com,response,2.6-202606,133,128,96.2,129
elb.the-ozone-project.com,response,2.6-202606,126,0,0.0,174
ib.adnxs.com,request,2.6-202606,118,37,31.4,65
grid-bidder.criteo.com,request,2.6-202606,105,63,60.0,197
pbs-raptive-us.ay.delivery,request,2.6-202606,85,30,35.3,84
prebid.production.adthrive.com,request,2.6-202606,85,30,35.3,72
prebid.production.adthrive.com,response,2.6-202606,85,0,0.0,6
prebid2.production.adthrive.com,request,2.6-202606,85,30,35.3,84
prebid2.production.adthrive.com,response,2.6-202606,85,0,0.0,1
c2shb.pubgw.yahoo.com,request,2.5,76,14,18.4,14
c2shb.pubgw.yahoo.com,response,2.6-202606,76,0,0.0,17
web.ads.aps.amazon-adsystem.com,request,2.6-202606,70,30,42.9,67
openads.adsrvr.org,request,2.6-202606,67,4,6.0,9
exchange.postrelease.com,request,2.6-202606,65,7,10.8,7
ssp.wknd.ai,request,2.5,57,57,100.0,140
hbopenbid.pubmatic.com,response,2.6-202606,31,0,0.0,0
ads.trustx.org,request,2.6-202606,29,5,17.2,16
display.bidder.taboola.com,request,2.6-202606,29,13,44.8,24
prebid-eu.creativecdn.com,request,2.6-202606,26,3,11.5,3
api.w.inmobi.com,request,2.6-202606,25,0,0.0,0
hb.emxdgt.com,request,2.6-202606,23,23,100.0,184
pbs-us-east.ay.delivery,request,2.6-202606,23,0,0.0,0
ap.lijit.com,request,2.6-202606,22,22,100.0,53
fast.nexx360.io,request,2.6-202606,22,13,59.1,16
fast.nexx360.io,response,2.6-202606,22,13,59.1,38
zz42943mtc.pub.tappx.com,request,2.6-202606,20,20,100.0,68
srv.scalibur.io,request,2.6-202606,19,3,15.8,7
srv.scalibur.io,response,2.6-202606,19,19,100.0,83
reachms.bfmio.com,request,2.6-202606,18,18,100.0,162
pbs-raptive-us.ay.delivery,response,2.6-202606,16,0,0.0,3
a.bids.ws,request,2.6-202606,15,9,60.0,10
a.bids.ws,response,2.6-202606,15,0,0.0,0
bid.sparteo.com,request,2.6-202606,15,1,6.7,1
bid.contextweb.com,request,2.6-202606,14,14,100.0,28
npid.amspbs.com,request,2.6-202606,14,0,0.0,0
npid.amspbs.com,response,2.6-202606,14,14,100.0,14
mweb-hb.presage.io,request,2.6-202606,13,12,92.3,12
grid-bidder.criteo.com,response,2.6-202606,12,8,66.7,52
web.hb.ad.cpe.dotomi.com,request,2.6-202606,12,6,50.0,12
bid.sparteo.com,response,2.6-202606,11,8,72.7,11
display.bidder.taboola.com,response,2.6-202606,11,0,0.0,16
pbs.intergient.com,request,2.6-202606,11,0,0.0,5
server.cpmstar.com,request,2.6-202606,11,11,100.0,31
ssc.33across.com,request,2.6-202606,11,11,100.0,17
ssc.33across.com,response,2.6-202606,11,9,81.8,11
rt.marphezis.com,request,2.6-202606,10,2,20.0,3
web.hb.ad.cpe.dotomi.com,response,2.6-202606,10,0,0.0,1
b1h.outbrain.com,request,2.6-202606,9,0,0.0,0
prebid-server.pbstck.com,request,2.6-202606,9,9,100.0,15
direct.adsrvr.org,response,2.6-202606,8,0,0.0,0
ex.ingage.tech,request,2.6-202606,8,8,100.0,17
ssp.disqus.com,request,2.6-202606,8,0,0.0,0
ads.yieldmo.com,request,2.6-202606,7,7,100.0,39
prebid-s2s.media.net,request,2.6-202606,7,7,100.0,7
prebid-s2s.media.net,response,2.6-202606,7,0,0.0,3
prebid-server.pbstck.com,response,2.6-202606,7,7,100.0,48
www.usatoday.com,request,2.6-202606,6,0,0.0,1
openads.adsrvr.org,response,2.6-202606,5,0,0.0,0
pbs.nextmillmedia.com,request,2.6-202606,5,5,100.0,5
prebid.deepintent.com,request,2.6-202606,5,2,40.0,20
web.ads.aps.amazon-adsystem.com,response,2.6-202606,5,0,0.0,2
adx.adform.net,request,2.6-202606,4,4,100.0,20
native.bidder.taboola.com,request,2.6-202606,4,0,0.0,0
pbs.at.cbsi.com,request,2.6-202606,4,0,0.0,0
pbs.at.cbsi.com,response,2.6-202606,4,0,0.0,0
webc2s.pubgw.yahoo.com,request,2.5,4,0,0.0,0
webc2s.pubgw.yahoo.com,response,2.6-202606,4,0,0.0,0
ads.trustx.org,response,2.6-202606,3,3,100.0,10
api.w.inmobi.com,response,2.6-202606,3,0,0.0,0
pbs.intergient.com,response,2.6-202606,3,0,0.0,0
prebid.ad.smaato.net,request,2.6-202606,3,3,100.0,6
rt.marphezis.com,response,2.6-202606,3,0,0.0,0
www.usatoday.com,response,2.6-202606,3,0,0.0,1
exchange.postrelease.com,response,2.6-202606,2,2,100.0,2
footballco-s2s.lngtd.com,request,2.6-202606,2,2,100.0,6
footballco-s2s.lngtd.com,response,2.6-202606,2,0,0.0,0
amspbs.com,request,2.6-202606,1,0,0.0,0
bw-prod.plrsrvcs.com,request,2.6-202606,1,1,100.0,2
bw-prod.plrsrvcs.com,response,2.6-202606,1,1,100.0,3
grid.bidswitch.net,request,2.6-202606,1,0,0.0,0
pbs-us-east.ay.delivery,response,2.6-202606,1,0,0.0,0
pbs2418030.adspsp.com,request,2.5,1,1,100.0,1
pbs2418030.adspsp.com,response,2.6-202606,1,0,0.0,0
ps.ex.co,request,2.6-202606,1,1,100.0,9
rtb.ex.co,request,2.6-202606,1,1,100.0,2
us-e.floxis.tech,request,2.6-202606,1,1,100.0,1
us-e.floxis.tech,response,2.6-202606,1,1,100.0,1
