endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
opentrade.bydata.com,request,2.6-202606,3,0,0.0,0
pbs.nextmillmedia.com,response,2.6-202606,3,0,0.0,0
prebid.dblks.net,request,2.6-202606,3,3,100.0,38
prebid.dblks.net,response,2.6-202606,3,3,100.0,3
prebid.trustedstack.com,request,2.6-202606,3,3,100.0,36
www.montgomeryadvertiser.com,response,2.6-202606,3,0,0.0,15
adx.adform.net,response,2.6-202606,2,0,0.0,2
adx2.adform.net,request,2.6-202606,2,2,100.0,8
dale.performax.cz,request,2.6-202606,2,2,100.0,4
ex.ingage.tech,response,2.6-202606,2,0,0.0,0
ice.360yield-basic.com,request,2.5,2,2,100.0,2
pb.adriver.ru,request,2.6-202606,2,2,100.0,2
prebid-asia.creativecdn.com,request,2.6-202606,2,0,0.0,0
prebid-server.pbstck.com,request,2.6-202606,2,0,0.0,0
prebid-server.pbstck.com,response,2.6-202606,2,2,100.0,8
prebid.deepintent.com,request,2.6-202606,2,0,0.0,0
prebid.tpdads.com,request,2.6-202606,2,0,0.0,0
prebid.tpdads.com,response,2.6-202606,2,0,0.0,0
s2s.t13.io,request,2.6-202606,2,2,100.0,13
s2s.t13.io,response,2.6-202606,2,0,0.0,0
srv.kntxy.com,response,2.6-202606,2,0,0.0,2
ssp.seznam.cz,request,2.6-202606,2,2,100.0,7
ssp.wp.pl,response,2.6-202606,2,2,100.0,4
www.tennessean.com,request,2.6-202606,2,0,0.0,0
www.tennessean.com,response,2.6-202606,2,0,0.0,22
api.w.inmobi.com,response,2.6-202606,1,0,0.0,0
cpm.vuukle.net,request,2.6-202606,1,1,100.0,1
cpm.vuukle.net,response,2.6-202606,1,0,0.0,0
o.clickiocdn.com,response,2.6-202606,1,0,0.0,0
prebid.setupad.io,request,2.6-202606,1,1,100.0,1
rtb.nexverse.ai,response,2.6-202606,1,0,0.0,1
ssp.seznam.cz,response,2.6-202606,1,0,0.0,1
ssp.wknd.ai,response,2.6-202606,1,1,100.0,2
t.visx.net,request,2.6-202606,1,1,100.0,1
zz43159sni.pub.tappx.com,request,2.6-202606,1,1,100.0,4
zz43159sni.pub.tappx.com,response,2.6-202606,1,0,0.0,1
