endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
htlb.casalemedia.com,request,2.6-202606,289,143,49.5,296
rtb.openx.net,request,2.6-202606,262,139,53.1,268
rtb.openx.net,response,2.6-202606,260,0,0.0,0
htlb.casalemedia.com,response,2.6-202606,238,121,50.8,122
direct.adsrvr.org,request,2.6-202606,206,203,98.5,385
ssb-global.smartadserver.com,request,2.6-202606,185,185,100.0,350
prebid-server.rubiconproject.com,request,2.6-202606,164,131,79.9,303
prebid-server.rubiconproject.com,response,2.6-202606,162,0,0.0,25
c2shb.pubgw.yahoo.com,request,2.6-202606,155,155,100.0,283
c2shb.pubgw.yahoo.com,response,2.6-202606,155,0,0.0,51
btlr.sharethrough.com,request,2.6-202606,151,136,90.1,233
hbopenbid.pubmatic.com,request,2.6-202606,123,61,49.6,136
prebid.media.net,request,2.6-202606,111,111,100.0,1688
direct.adsrvr.org,response,2.6-202606,92,0,0.0,0
fastlane.rubiconproject.com,request,2.6-202606,88,34,38.6,53
fastlane.rubiconproject.com,response,2.6-202606,88,56,63.6,56
ap.lijit.com,request,2.6-202606,76,76,100.0,258
grid-bidder.criteo.com,request,2.6-202606,73,42,57.5,100
adx.adform.net,request,2.6-202606,64,62,96.9,233
ib.adnxs.com,request,2.6-202606,58,37,63.8,83
web.ads.aps.amazon-adsystem.com,request,2.6-202606,58,30,51.7,80
pbs-raptive-us.ay.delivery,request,2.6-202606,51,24,47.1,64
prebid.production.adthrive.com,request,2.6-202606,45,21,46.7,46
prebid.production.adthrive.com,response,2.6-202606,45,0,0.0,28
prebid2.production.adthrive.com,request,2.6-202606,45,21,46.7,52
prebid2.production.adthrive.com,response,2.6-202606,45,0,0.0,4
ssb-global.smartadserver.com,response,2.6-202606,41,41,100.0,41
exchange.postrelease.com,request,2.6-202606,37,0,0.0,2
elb.the-ozone-project.com,request,2.5,35,35,100.0,136
prebid-eu.creativecdn.com,request,2.6-202606,35,12,34.3,25
display.bidder.taboola.com,request,2.6-202606,34,28,82.4,105
api.w.inmobi.com,request,2.6-202606,33,7,21.2,18
ssp.wknd.ai,request,2.5,31,31,100.0,69
elb.the-ozone-project.com,response,2.6-202606,30,0,0.0,21
bid.sparteo.com,request,2.6-202606,28,4,14.3,4
fast.nexx360.io,request,2.5,28,19,67.9,27
fast.nexx360.io,response,2.6-202606,27,19,70.4,27
rt.marphezis.com,request,2.6-202606,25,19,76.0,26
bid.sparteo.com,response,2.6-202606,24,14,58.3,31
