payload_id,site,endpoint,side,best_fit_version,valid,n_issues,n_errors,n_warnings
p000001,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000002,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000003,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000004,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000005,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000006,chl.ca,a.bids.ws,request,2.5,False,1,1,0
p000007,chl.ca,a.bids.ws,request,2.5,False,1,1,0
p000008,futbol-11.com,a.bids.ws,request,2.5,False,2,2,0
p000009,namemc.com,a.bids.ws,request,2.5,False,2,2,0
p000010,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000011,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000012,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000013,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000014,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000015,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000016,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000017,purposegames.com,a.bids.ws,request,2.5,False,2,2,0
p000018,purposegames.com,a.bids.ws,request,2.5,False,2,2,0
p000019,chl.ca,a.bids.ws,response,2.6-202606,True,1,0,1
p000020,chl.ca,a.bids.ws,response,2.6-202606,True,1,0,1
p000021,futbol-11.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000022,namemc.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000023,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000024,psychcentral.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000025,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000026,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000027,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000028,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000029,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000030,purposegames.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000031,purposegames.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000032,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000033,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000034,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000035,cornucopia.se,ad.360yield.com,response,2.6-202606,True,1,0,1
p000036,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000037,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000038,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000039,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000040,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000041,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000042,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000043,fox11online.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000044,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000045,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000046,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000047,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000048,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000049,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000050,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000051,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000052,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000053,eonline.com,ads.trustx.org,response,2.6-202606,False,2,2,0
p000054,autoexpress.co.uk,ads.yieldmo.com,request,2.6-202606,False,6,5,1
p000055,autoexpress.co.uk,ads.yieldmo.com,request,2.6-202606,False,6,5,1
p000056,nesn.com,ads.yieldmo.com,request,2.6-202606,False,5,4,1
p000057,nesn.com,ads.yieldmo.com,request,2.6-202606,False,5,4,1
p000058,mthai.com,adserver.maximus.mobkoi.com,request,2.6-202606,False,1,1,0
