payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000001,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000002,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000003,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000004,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000005,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000006,chl.ca,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000007,chl.ca,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000008,futbol-11.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000008,futbol-11.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000009,namemc.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000009,namemc.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000010,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000011,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000012,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000013,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000014,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000015,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000016,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000017,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000017,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000018,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000018,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000019,chl.ca,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
p000020,chl.ca,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
p000024,psychcentral.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
