endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
pbs-us-east.ay.delivery,response,2.6-202606,2,0,0.0,2
pbs.anyadx.live,request,2.6-202606,2,0,0.0,2
pbs.nextmillmedia.com,response,2.6-202606,2,0,0.0,0
prebid-asia.creativecdn.com,request,2.6-202606,2,0,0.0,0
prebid-server.pbstck.com,response,2.6-202606,2,2,100.0,8
prebid.tpdads.com,request,2.6-202606,2,0,0.0,0
srv.kntxy.com,response,2.6-202606,2,0,0.0,2
ssp.seznam.cz,request,2.6-202606,2,2,100.0,7
www.montgomeryadvertiser.com,response,2.6-202606,2,0,0.0,3
www.tennessean.com,request,2.6-202606,2,0,0.0,0
www.tennessean.com,response,2.6-202606,2,0,0.0,2
ap.lijit.com,response,2.6-202606,1,0,0.0,0
api.w.inmobi.com,response,2.6-202606,1,0,0.0,0
b1-euc1.outbrain.com,request,2.6-202606,1,0,0.0,0
cpm.vuukle.net,request,2.6-202606,1,1,100.0,1
cpm.vuukle.net,response,2.6-202606,1,0,0.0,0
grid-bidder.criteo.com,response,2.6-202606,1,1,100.0,3
ittr-us-e.eskimi.com,request,2.6-202606,1,1,100.0,1
pbs-publift-us.ay.delivery,response,2.6-202606,1,0,0.0,0
pbs.360yield.com,request,2.6-202606,1,1,100.0,1
pbs.360yield.com,response,2.6-202606,1,0,0.0,0
prebid.setupad.io,request,2.6-202606,1,1,100.0,1
rtb.ex.co,request,2.6-202606,1,1,100.0,3
ssp.seznam.cz,response,2.6-202606,1,0,0.0,1
t.visx.net,request,2.6-202606,1,1,100.0,1
zz43159sni.pub.tappx.com,request,2.6-202606,1,1,100.0,4
