payload_id,site,endpoint,side,best_fit_version,valid,n_issues,n_errors,n_warnings
p000001,standard.co.uk,a.bids.ws,request,2.6-202606,False,1,1,0
p000002,standard.co.uk,a.bids.ws,request,2.6-202606,False,1,1,0
p000003,standard.co.uk,a.bids.ws,request,2.6-202606,False,1,1,0
p000004,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000005,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000006,wunderground.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000007,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000008,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000009,wunderground.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000010,healthline.com,a.bids.ws,request,2.6-202606,False,2,2,0
p000011,ladbible.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000012,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000013,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000014,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000015,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000016,standard.co.uk,a.bids.ws,response,2.6-202606,True,0,0,0
p000017,standard.co.uk,a.bids.ws,response,2.6-202606,True,0,0,0
p000018,standard.co.uk,a.bids.ws,response,2.6-202606,True,0,0,0
p000019,weather.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000020,weather.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000021,weather.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000022,wunderground.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000023,weather.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000024,wunderground.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000025,healthline.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000026,ladbible.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000027,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000028,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000029,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000030,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000031,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000032,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000033,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000034,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000035,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000036,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000037,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000038,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000039,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000040,cbsnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000041,nbcnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000042,nbcnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000043,cbsnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000044,abcnews.go.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000045,vox.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000046,theverge.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000047,cbssports.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000048,cbssports.com,ads.trustx.org,request,2.6-202606,True,0,0,0
