endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
webc2s.pubgw.yahoo.com,request,2.5,4,0,0.0,0
webc2s.pubgw.yahoo.com,response,2.6-202606,4,0,0.0,0
ex.ingage.tech,request,2.6-202606,3,3,100.0,3
pbs.intergient.com,response,2.6-202606,3,0,0.0,0
prebid.ad.smaato.net,request,2.6-202606,3,3,100.0,6
ps.ex.co,request,2.6-202606,3,1,33.3,10
amspbs.com,request,2.6-202606,2,0,0.0,0
amspbs.com,response,2.6-202606,2,0,0.0,6
footballco-s2s.lngtd.com,request,2.6-202606,2,2,100.0,6
footballco-s2s.lngtd.com,response,2.6-202606,2,0,0.0,7
pbs.nextmillmedia.com,response,2.6-202606,2,0,0.0,0
prebid-server.pbstck.com,request,2.6-202606,2,2,100.0,8
prebid-server.pbstck.com,response,2.6-202606,2,2,100.0,36
ads.trustx.org,response,2.6-202606,1,1,100.0,2
ex.ingage.tech,response,2.6-202606,1,0,0.0,0
grid.bidswitch.net,request,2.6-202606,1,0,0.0,0
pbs2418030.adspsp.com,request,2.5,1,1,100.0,1
pbs2418030.adspsp.com,response,2.6-202606,1,0,0.0,0
prebid.ad.smaato.net,response,2.6-202606,1,0,0.0,1
rpbs-iad1-ngf.production.adthrive.com,request,2.6-202606,1,0,0.0,0
rpbs-iad1-ngf.production.adthrive.com,response,2.6-202606,1,0,0.0,1
rpbs-sjc1-ngf.production.adthrive.com,request,2.6-202606,1,0,0.0,0
rpbs-sjc1-ngf.production.adthrive.com,response,2.6-202606,1,0,0.0,0
rtb.ex.co,response,2.6-202606,1,1,100.0,5
tv.springserve.com,request,2.6-202606,1,1,100.0,2
tv.springserve.com,response,2.6-202606,1,0,0.0,1
vpb-server.jwplayer.com,request,2.6-202606,1,0,0.0,1
